Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4073.02, Los Angeles County, California",407302,West Puente Valley,1400000US06037407302,"(34.039506, -117.960844)",Drinking_Water_Contaminants_2017_1400000US06037407302,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4074, Los Angeles County, California",407400,West Covina,1400000US06037407400,"(34.0523575, -117.9577655)",Drinking_Water_Contaminants_2017_1400000US06037407400,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4075.01, Los Angeles County, California",407501,La Puente,1400000US06037407501,"(34.04734, -117.948319)",Drinking_Water_Contaminants_2017_1400000US06037407501,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4075.02, Los Angeles County, California",407502,Valinda,1400000US06037407502,"(34.04334, -117.9385445)",Drinking_Water_Contaminants_2017_1400000US06037407502,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,814.5569762,"Census Tract 4076.01, Los Angeles County, California",407601,La Puente,1400000US06037407601,"(34.0383465, -117.947004)",Drinking_Water_Contaminants_2017_1400000US06037407601,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,824.7374927,"Census Tract 4076.02, Los Angeles County, California",407602,La Puente,1400000US06037407602,"(34.03063, -117.944401)",Drinking_Water_Contaminants_2017_1400000US06037407602,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,826.6689668,"Census Tract 4077.01, Los Angeles County, California",407701,La Puente,1400000US06037407701,"(34.0136315, -117.929283)",Drinking_Water_Contaminants_2017_1400000US06037407701,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,776.551799,"Census Tract 4077.02, Los Angeles County, California",407702,La Puente,1400000US06037407702,"(34.0206605, -117.947234)",Drinking_Water_Contaminants_2017_1400000US06037407702,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,810.900843,"Census Tract 4078.01, Los Angeles County, California",407801,Valinda,1400000US06037407801,"(34.030198, -117.921188)",Drinking_Water_Contaminants_2017_1400000US06037407801,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,819.7642803,"Census Tract 4078.02, Los Angeles County, California",407802,Industry,1400000US06037407802,"(34.0264515, -117.931011)",Drinking_Water_Contaminants_2017_1400000US06037407802,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4079, Los Angeles County, California",407900,Valinda,1400000US06037407900,"(34.041661, -117.9269725)",Drinking_Water_Contaminants_2017_1400000US06037407900,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,809.8198936,"Census Tract 4080.03, Los Angeles County, California",408003,West Covina,1400000US06037408003,"(34.0452465, -117.9168025)",Drinking_Water_Contaminants_2017_1400000US06037408003,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4080.04, Los Angeles County, California",408004,West Covina,1400000US06037408004,"(34.037498, -117.915708)",Drinking_Water_Contaminants_2017_1400000US06037408004,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,809.4358264,"Census Tract 4080.05, Los Angeles County, California",408005,West Covina,1400000US06037408005,"(34.0483655, -117.8955145)",Drinking_Water_Contaminants_2017_1400000US06037408005,1/1/17
